Id,Predicted
1_939,0.081962
1_940,0.092434
1_941,0.10467
1_942,0.110357
1_943,0.734503
1_944,0.829648
1_945,0.137357
1_946,0.144177
1_947,0.154086
1_948,0.148717
1_949,0.142019
1_950,0.125448
1_951,0.123215
1_952,0.12326
1_953,0.697663
1_954,0.797896
1_955,0.122204
1_956,0.666601
1_957,0.781294
1_958,0.140612
1_959,0.122422
1_960,0.133044
1_961,0.130145
1_962,0.106925
1_963,0.678134
1_964,0.802653
1_965,0.103249
1_966,0.098703
1_967,0.108814
1_968,0.111909
1_969,0.107124
1_970,0.104049
1_971,0.102378
1_972,0.087284
1_973,0.083513
1_974,0.078866
1_975,0.076668
1_976,0.072865
1_977,0.070155
1_978,0.071856
1_979,0.06924
1_980,0.061891
1_981,0.062049
1_982,0.058997
1_983,0.064052
1_984,0.067834
1_985,0.064008
1_986,0.059092
1_987,0.074182
1_988,0.077863
1_989,0.095833
1_990,0.106669
1_991,0.130575
1_992,0.717834
1_993,0.211237
1_994,0.739282
1_995,0.104149
1_996,0.709703
1_997,0.799976
1_998,0.106776
1_999,0.088028
1_1000,0.097897
1_1001,0.075286
1_1002,0.060419
1_1003,0.049942
1_1004,0.048935
1_1005,0.050595
1_1006,0.042735
1_1007,0.033501
1_1008,0.034638
1_1009,0.049696
1_1010,0.051637
1_1011,0.068545
1_1012,0.068388
1_1013,0.077223
1_1014,0.716202
1_1015,0.848702
1_1016,0.060781
1_1017,0.054435
1_1018,0.060204
1_1019,0.055439
1_1020,0.055515
1_1021,0.045322
1_1022,0.039526
1_1023,0.047474
1_1024,0.044939
1_1025,0.094831
1_1026,0.076064
1_1027,0.08958
1_1028,0.777238
1_1029,0.881281
1_1030,0.736981
1_1031,0.862524
1_1032,0.072414
1_1033,0.061879
1_1034,0.074235
1_1035,0.06662
1_1036,0.065871
1_1037,0.727353
1_1038,0.870847
1_1039,0.042073
1_1040,0.043805
1_1041,0.052912
1_1042,0.047827
1_1043,0.056095
1_1044,0.043922
1_1045,0.041341
1_1046,0.059682
1_1047,0.061883
1_1048,0.055764
1_1049,0.747976
1_1050,0.884567
1_1051,0.042883
1_1052,0.040611
1_1053,0.048744
1_1054,0.067173
1_1055,0.066025
1_1056,0.056098
1_1057,0.758596
1_1058,0.900315
1_1059,0.04746
1_1060,0.044623
1_1061,0.051624
1_1062,0.054452
1_1063,0.046909
1_1064,0.032147
1_1065,0.034165
1_1066,0.027939
1_1067,0.048975
1_1068,0.057381
1_1069,0.071445
1_1070,0.059344
1_1071,0.054495
1_1072,0.75212
