Id,Predicted
1_939,0.152342151
1_940,0.13036665
1_941,0.092360426
1_942,0.047501814
1_943,0.004735356
1_944,0
1_945,0
1_946,0
1_947,0
1_948,0.040293587
1_949,0.130940299
1_950,0.247731883
1_951,0.378790497
1_952,0.508051509
1_953,0.618925938
1_954,0.698087839
1_955,0.738330249
1_956,0.740136692
1_957,0.71189902
1_958,0.668431709
1_959,0.62765966
1_960,0.605674658
1_961,0.61122407
1_962,0.64227866
1_963,0.686700698
1_964,0.72750652
1_965,0.750593094
1_966,0.751018623
1_967,0.734870148
1_968,0.716128985
1_969,0.710187533
1_970,0.727473913
1_971,0.769640675
1_972,0.829475039
1_973,0.894329453
1_974,0.950859699
1_975,0.98938845
1_976,0.999999998
1_977,0.999999998
1_978,0.980650561
1_979,0.944796148
1_980,0.894072074
1_981,0.826459361
1_982,0.741790217
1_983,0.645619198
1_984,0.55034592
1_985,0.472401239
1_986,0.42697182
1_987,0.423007394
1_988,0.460889584
1_989,0.533101988
1_990,0.627026624
1_991,0.728297194
1_992,0.824249212
1_993,0.906106001
1_994,0.969801543
1_995,0.999999998
1_996,0.999999998
1_997,0.999999998
1_998,0.999999998
1_999,0.988783315
1_1000,0.931913999
1_1001,0.866230058
1_1002,0.803761264
1_1003,0.756827779
1_1004,0.734645705
1_1005,0.740314805
1_1006,0.768881022
1_1007,0.807765765
1_1008,0.840608815
1_1009,0.853528496
1_1010,0.841392597
1_1011,0.810115529
1_1012,0.773966393
1_1013,0.748796883
1_1014,0.744760491
1_1015,0.762130738
1_1016,0.792016444
1_1017,0.820670024
1_1018,0.83538602
1_1019,0.829234943
1_1020,0.803017439
1_1021,0.764181835
1_1022,0.723192277
1_1023,0.689509336
1_1024,0.668755331
1_1025,0.66236243
1_1026,0.669088123
1_1027,0.68653953
1_1028,0.711640711
1_1029,0.740132554
1_1030,0.766450039
1_1031,0.785136923
1_1032,0.79319699
1_1033,0.791674285
1_1034,0.784899112
1_1035,0.777622781
1_1036,0.771888935
1_1037,0.765451105
1_1038,0.753131897
1_1039,0.730321574
1_1040,0.696449784
1_1041,0.656248055
1_1042,0.618072009
1_1043,0.590549735
1_1044,0.579552
1_1045,0.587402722
1_1046,0.613236592
1_1047,0.653407151
1_1048,0.700957483
1_1049,0.745258878
1_1050,0.773920097
1_1051,0.77758825
1_1052,0.755303343
1_1053,0.716559473
1_1054,0.67803982
1_1055,0.656181735
1_1056,0.659843809
1_1057,0.687325989
1_1058,0.729027876
1_1059,0.77325461
1_1060,0.810900567
1_1061,0.836862964
1_1062,0.848340985
1_1063,0.843014119
1_1064,0.819169446
1_1065,0.777768019
1_1066,0.724883224
1_1067,0.671706495
1_1068,0.631213345
1_1069,0.612958389
1_1070,0.618596218
1_1071,0.641062477
1_1072,0.667962159
1_1073,0.687400087
1_1074,0.693449941
1_1075,0.687601936
1_1076,0.67623676
1_1077,0.665594917
1_1078,0.657648386
1_1079,0.649598869
1_1080,0.636992005
1_1081,0.61832186
1_1082,0.597337165
1_1083,0.581849819
1_1084,0.579584943
1_1085,0.593728653
1_1086,0.620438268
1_1087,0.649562474
1_1088,0.668007564
1_1089,0.665167926
1_1090,0.638229161
1_1091,0.594758801
1_1092,0.550750889
1_1093,0.524066171
1_1094,0.526409006
1_1095,0.5584381
1_1096,0.610569548
1_1097,0.668991163
1_1098,0.72277823
1_1099,0.767420046
1_1100,0.803563331
1_1101,0.832518972
1_1102,0.852815372
1_1103,0.860014807
1_1104,0.849923392
1_1105,0.82233581
1_1106,0.782808157
1_1107,0.741446383
1_1108,0.709249967
1_1109,0.693523112
1_1110,0.694579906
1_1111,0.705348654
1_1112,0.715067179
1_1113,0.71525948
1_1114,0.704489305
1_1115,0.688602206
1_1116,0.6756871
1_1117,0.669615431
1_1118,0.667102347
1_1119,0.660422351
1_1120,0.64341024
1_1121,0.616187052
1_1122,0.585192054
1_1123,0.559231003
1_1124,0.545266969
1_1125,0.546125418
1_1126,0.560500408
1_1127,0.583864523
1_1128,0.609524384
1_1129,0.629942802
1_1130,0.638687332
1_1131,0.632341875
1_1132,0.611836624
1_1133,0.582257744
1_1134,0.551331901
1_1135,0.526951884
1_1136,0.5148693
1_1137,0.517469913
1_1138,0.53409571
1_1139,0.561991821
1_1140,0.596576308
1_1141,0.630994747
1_1142,0.65640955
1_1143,0.664813175
1_1144,0.653647963
1_1145,0.629256824
1_1146,0.605516219
1_1147,0.597477341
1_1148,0.61376049
1_1149,0.652411044
1_1150,0.703130566
1_1151,0.753909697
1_1152,0.797281745
1_1153,0.832313807
1_1154,0.861746043
1_1155,0.887474125
1_1156,0.907791732
1_1157,0.918237552
